File_name,File_type,Animal,Date,Orientation,Drone_Altitude_m,Standard _length_cm,Width_ax_cm,Footprint,Height,Volume_m3,Volume_no_head_m3,Notes
YuleLogs001,Scan,Yule Logs,2023-04-21T00:00:00Z,Standard,NA,211,62,NA,0.39,NA,0.2134,"Head is dodgy, has big hole in the middle. Can't do volume"
Marlin001,Scan,Marlin,2023-04-21T00:00:00Z,Standard,NA,204,57,NA,NA,0.18609999999999999,0.1731,NA
Ray001,Scan,Ray,2023-04-21T00:00:00Z,Standard,NA,NA,57,NA,NA,NA,0.1803,No head
Atlantis001,Scan,Atlantis,2023-04-21T00:00:00Z,Standard,NA,178,56,NA,NA,NA,0.149,Good scan apart from head. Moved head up halfway through scan. Could do vol or length without head
YuleLogs002,Scan,Yule Logs,2023-04-28T00:00:00Z,Standard,NA,222,64,NA,NA,0.24360000000000001,0.2362,Nice scan
Marlin002,Scan,Marlin,2023-04-28T00:00:00Z,Standard,NA,207,57,NA,NA,0.18790000000000001,0.1821,NA
Ray002,Scan,Ray,2023-04-28T00:00:00Z,Standard,NA,NA,56,NA,NA,NA,NA,Only has a stump for a head. Can't easily do standard length or volume. Could measure with no head
Atlantis002,Scan,Atlantis,2023-04-28T00:00:00Z,Standard,NA,NA,54,NA,NA,NA,NA,"Scan really not good, part head and has hopped. Width probably fairly accurate"
YuleLogs003,Scan,Yule Logs,2023-05-11T00:00:00Z,Standard,NA,224,66,NA,NA,0.24859999999999999,NA,Nice scan
Atlantis003,Scan,Atlantis,2023-05-11T00:00:00Z,Standard,NA,188,53,NA,NA,0.15570000000000001,NA,"Bit dodgy, looks like she has hopped forward mid-scan so bound to add extra length and volume. Width probably fairly accurate"
Ray003.1,Scan,Ray,2023-05-11T00:00:00Z,Standard,NA,NA,55,NA,NA,NA,NA,"No proper head, can't do standard length or volume but could do volume or length with no head"
